tip_label,img_path,img_path_2,img_path_3
Prognathodes_aculeatus_PW648,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Prognathodes_aculeatus_iNaturalist_147548487.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Prognathodes_aculeatus_FishBase_Pracu_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Prognathodes_aculeatus_FishBase_Chacu_u1.jpg
Prognathodes_aya_PW1045,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Prognathodes_aya_iNaturalist_345856582.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Prognathodes_aya_FishBase_Praya_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Prognathodes_aya_FishBase_Chaya_u0.jpg
Prognathodes_brasiliensis_PW3997,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Prognathodes_brasiliensis_FishBase_Prbra_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Prognathodes_brasiliensis_FishBase_Prbra_u1.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Prognathodes_brasiliensis_FishBase_Prbra_u2.jpg
Prognathodes_dichrous_PDH01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Prognathodes_dichrous_iNaturalist_59250499.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Prognathodes_dichrous_FishPix_89092AF.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Prognathodes_dichrous_FishBase_Prdic_u0.jpg
Prognathodes_obliquus_POQ02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Prognathodes_obliquus_FishBase_Chobl_u1.jpg,NA,NA
Roa_excelsa_ROAsp_02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Roa_excelsa_FishBase_Chexc_u0.jpg,NA,NA
Roa_haraguchiae_KAUM35795,NA,NA,NA
Roa_jayakari_JDD98,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Roa_jayakari_FishBase_Chjay_u1.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Roa_jayakari_FishBase_Chjay_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Roa_jayakari_FishBase_Chjay_u2.jpg
Roa_modestua_CMO01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Roa_modesta_iNaturalist_200235685.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Roa_modesta_FishBase_Chmod_u1.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Roa_modesta_FishBase_Chmod_u0.jpg
chaetodon_trifascialis,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_trifascialis_Bishop_-1790297166.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_trifascialis_iNaturalist_215411642.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_trifascialis_FishPix_140533AF.jpg
chaetodon_trifasciatus,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_trifasciatus_Bishop_-781709008.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chaetodon_trifasciatus_iNaturalist_173829537.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chaetodon_trifasciatus_FishPix_55807AF.jpg
