filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Chaetodon_lunulatus_iNaturalist_204773665.jpg,Chaetodon lunulatus,inaturalist,-4.5,no,template_uncertain,0.0664,Chaetodon_lunulatus_Bishop_1378116790.jpg,yes
Chaetodon_madagaskariensis_iNaturalist_340340714.jpg,Chaetodon madagaskariensis,inaturalist,-9.0,no,template_uncertain,0.0883,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,yes
Chaetodon_madagaskariensis_iNaturalist_554082386.jpg,Chaetodon madagaskariensis,inaturalist,0.0,no,template_uncertain,0.1492,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,yes
Chaetodon_marleyi_iNaturalist_547984306.jpg,Chaetodon marleyi,inaturalist,0.0,no,template_uncertain,0.0932,Chaetodon_marleyi_Bishop_384825925.jpg,yes
Chaetodon_marleyi_iNaturalist_553311588.jpg,Chaetodon marleyi,inaturalist,0.0,no,template_uncertain,0.0651,Chaetodon_marleyi_Bishop_384825925.jpg,yes
Chaetodon_melapterus_iNaturalist_278909138.jpg,Chaetodon melapterus,inaturalist,2.2,no,template_uncertain,0.0832,Chaetodon_melapterus_Bishop_690928567.jpg,yes
Chaetodon_melapterus_iNaturalist_302828066.jpg,Chaetodon melapterus,inaturalist,-8.5,no,template_uncertain,0.117,Chaetodon_melapterus_Bishop_690928567.jpg,yes
Chaetodon_melapterus_iNaturalist_612761452.jpg,Chaetodon melapterus,inaturalist,-13.5,no,template_uncertain,0.0607,Chaetodon_melapterus_Bishop_690928567.jpg,yes
Chaetodon_melapterus_iNaturalist_612969819.jpg,Chaetodon melapterus,inaturalist,0.0,no,template_uncertain,0.1084,Chaetodon_melapterus_Bishop_690928567.jpg,yes
Chaetodon_melapterus_iNaturalist_613002357.jpg,Chaetodon melapterus,inaturalist,2.6,no,template_uncertain,0.086,Chaetodon_melapterus_Bishop_690928567.jpg,yes
Chaetodon_mesoleucos_iNaturalist_260752004.jpg,Chaetodon mesoleucos,inaturalist,-6.7,no,template_uncertain,0.0521,Chaetodon_mesoleucos_Bishop_-899095560.jpg,yes
Chaetodon_meyeri_FishBase_Chmey_u2.jpg,Chaetodon meyeri,fishbase,15.1,no,trusted_flagged,0.2125,Chaetodon_meyeri_Bishop_-146742631.jpg,yes
Chaetodon_meyeri_iNaturalist_233496806.jpg,Chaetodon meyeri,inaturalist,-11.3,no,template_uncertain,0.1442,Chaetodon_meyeri_Bishop_-146742631.jpg,yes
Chaetodon_meyeri_iNaturalist_300418666.jpg,Chaetodon meyeri,inaturalist,-6.8,no,template_uncertain,0.102,Chaetodon_meyeri_Bishop_-146742631.jpg,yes
Chaetodon_meyeri_iNaturalist_485931655.jpg,Chaetodon meyeri,inaturalist,-2.2,no,template_uncertain,0.0612,Chaetodon_meyeri_Bishop_-146742631.jpg,yes
Chaetodon_meyeri_iNaturalist_58457304.jpg,Chaetodon meyeri,inaturalist,17.0,no,template_uncertain,0.1363,Chaetodon_meyeri_Bishop_-146742631.jpg,yes
Chaetodon_miliaris_iNaturalist_596812485.jpg,Chaetodon miliaris,inaturalist,0.0,no,template_uncertain,0.0763,Chaetodon_miliaris_Bishop_1720766063.jpg,yes
Chaetodon_mitratus_iNaturalist_607776891.jpg,Chaetodon mitratus,inaturalist,-8.9,no,template_uncertain,0.0959,Chaetodon_mitratus_Bishop_-777256060.jpg,yes
Chaetodon_multicinctus_iNaturalist_14228531.jpg,Chaetodon multicinctus,inaturalist,-14.3,no,template_uncertain,0.0539,Chaetodon_multicinctus_Bishop_-1285212619.jpg,yes
Chaetodon_multicinctus_iNaturalist_169957174.jpg,Chaetodon multicinctus,inaturalist,0.0,no,template_uncertain,0.0594,Chaetodon_multicinctus_Bishop_-1285212619.jpg,yes
Chaetodon_multicinctus_iNaturalist_456392856.jpg,Chaetodon multicinctus,inaturalist,-11.5,no,template_uncertain,0.0884,Chaetodon_multicinctus_Bishop_-1285212619.jpg,yes
Chaetodon_multicinctus_iNaturalist_502118771.jpg,Chaetodon multicinctus,inaturalist,-16.2,no,template_uncertain,0.0786,Chaetodon_multicinctus_Bishop_-1285212619.jpg,yes
Chaetodon_nippon_iNaturalist_32560890.jpg,Chaetodon nippon,inaturalist,0.0,no,template_uncertain,0.0556,Chaetodon_nippon_Bishop_-751379567.jpg,yes
Chaetodon_nippon_iNaturalist_4412325.jpg,Chaetodon nippon,inaturalist,-11.1,no,template_uncertain,0.0647,Chaetodon_nippon_Bishop_-751379567.jpg,yes
Chaetodon_nippon_iNaturalist_517620398.jpg,Chaetodon nippon,inaturalist,3.7,no,template_uncertain,0.0702,Chaetodon_nippon_Bishop_-751379567.jpg,yes
Chaetodon_nippon_iNaturalist_84067425.jpg,Chaetodon nippon,inaturalist,-18.5,no,template_uncertain,0.0752,Chaetodon_nippon_Bishop_-751379567.jpg,yes
Chaetodon_ocellicaudus_FishPix_5227AF.jpg,Chaetodon ocellicaudus,fishpix,-9.9,no,trusted_flagged,0.2348,Chaetodon_ocellicaudus_Bishop_958979710.jpg,yes
Chaetodon_ocellicaudus_FishBase_Choce_j0.jpg,Chaetodon ocellicaudus,fishbase,0.0,no,trusted_flagged,0.3356,Chaetodon_ocellicaudus_Bishop_958979710.jpg,yes
Chaetodon_ocellicaudus_iNaturalist_530620209.jpg,Chaetodon ocellicaudus,inaturalist,18.2,no,template_uncertain,0.1012,Chaetodon_ocellicaudus_Bishop_958979710.jpg,yes
Chaetodon_octofasciatus_iNaturalist_318759037.jpg,Chaetodon octofasciatus,inaturalist,-17.4,no,template_uncertain,0.0575,Chaetodon_octofasciatus_Bishop_1838436391.jpg,yes
Chaetodon_octofasciatus_iNaturalist_327088836.jpg,Chaetodon octofasciatus,inaturalist,0.0,no,template_uncertain,0.0622,Chaetodon_octofasciatus_Bishop_1838436391.jpg,yes
