species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon fasciatus,Chaetodon_fasciatus_FishBase_Chfas_u6.jpg,Chaetodon_fasciatus_Bishop_-1886056978.jpg,yes,2026-02-05T12:22:50.830136,
Chaetodon fasciatus,Chaetodon_fasciatus_FishBase_Chfas_u1.jpg,Chaetodon_fasciatus_Bishop_2100774615.jpg,yes,2026-02-05T12:23:56.197210,
Chaetodon fasciatus,Chaetodon_fasciatus_FishBase_Chfas_u1.jpg,Chaetodon_fasciatus_Bishop_-1886056978.jpg,no,2026-02-05T12:36:22.116952,
Chaetodon fasciatus,Chaetodon_fasciatus_FishBase_Chfas_u6.jpg,Chaetodon_fasciatus_Bishop_2100774615.jpg,no,2026-02-05T12:37:03.563699,
Chaetodon flavirostris,Chaetodon_flavirostris_FishBase_Chfla_u3.jpg,Chaetodon_flavirostris_Bishop_1864146380.jpg,yes,2026-02-05T12:22:52.529600,
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u5.jpg,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,yes,2026-02-05T12:23:56.885292,
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u4.jpg,Chaetodon_flavocoronatus_Bishop_-1599575846.jpg,yes,2026-02-05T12:24:28.159904,
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u5.jpg,Chaetodon_flavocoronatus_Bishop_-1599575846.jpg,yes,2026-02-05T12:25:29.131237,
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u4.jpg,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,no,2026-02-05T12:28:16.886238,
Chaetodon fremblii,Chaetodon_fremblii_FishBase_Chfre_u1.jpg,Chaetodon_fremblii_Bishop_5130835.jpg,yes,2026-02-05T12:22:53.388197,
Chaetodon gardineri,Chaetodon_gardineri_FishBase_Chgar_u1.jpg,Chaetodon_gardineri_Bishop_-1706450280.jpg,yes,2026-02-05T12:23:57.597544,
Chaetodon gardineri,Chaetodon_gardineri_FishBase_Chgar_u0.jpg,Chaetodon_gardineri_Bishop_-1706450280.jpg,no,2026-02-05T12:37:33.014849,
Chaetodon guentheri,Chaetodon_guentheri_FishBase_Chgue_u1.jpg,Chaetodon_guentheri_Bishop_-184146759.jpg,yes,2026-02-05T12:23:58.355716,
Chaetodon guttatissimus,Chaetodon_guttatissimus_FishBase_Chgut_u0.jpg,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,yes,2026-02-05T12:23:59.091920,
Chaetodon guttatissimus,Chaetodon_guttatissimus_FishBase_Chgut_u1.jpg,Chaetodon_guttatissimus_Bishop_-397235578.jpg,yes,2026-02-05T12:31:40.660619,
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u1.jpg,Chaetodon_kleinii_Bishop_-1577854379.jpg,yes,2026-02-05T12:24:28.918923,
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u4.jpg,Chaetodon_kleinii_Bishop_977649394.jpg,yes,2026-02-05T12:24:29.694795,
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u2.jpg,Chaetodon_kleinii_Bishop_308997156.jpg,yes,2026-02-05T12:24:56.919061,
