filename,species,directory,mean_L,mean_a,mean_b,std_L,std_a,std_b,distance,distance_method,species_n_images,distance_zscore,flag_color_outlier,flag_small_mask,flag_large_mask,flag_luminance,n_flags,suggested_action
Chaetodon_assarius_iNaturalist_6085742.jpg,Chaetodon assarius,images_inaturalist,25.9,-9.23,6.94,14.92,6.21,7.5,2.15,mahalanobis,11,-0.461,no,no,yes,no,1,review
Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg,Chaetodon aureofasciatus,images,52.86,-22.7,33.47,21.34,6.57,14.24,2.849,mahalanobis,14,1.148,no,no,no,no,0,ok
Chaetodon_aureofasciatus_Bishop_1459626629.jpg,Chaetodon aureofasciatus,images_bishop,58.53,-0.33,18.96,22.49,2.86,16.12,2.133,mahalanobis,14,-0.389,no,no,no,no,0,ok
Chaetodon_aureofasciatus_FishBase_Chaur_u1.jpg,Chaetodon aureofasciatus,images_fishbase_extra,59.1,-0.42,19.11,22.78,2.99,16.47,2.185,mahalanobis,14,-0.276,no,no,no,no,0,ok
Chaetodon_aureofasciatus_FishBase_Chaur_ut.jpg,Chaetodon aureofasciatus,images_fishbase_extra,63.81,-10.05,26.99,15.2,9.57,31.33,2.673,mahalanobis,14,0.771,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_175593141.jpg,Chaetodon aureofasciatus,images_inaturalist,54.9,10.92,18.27,17.84,8.97,17.27,1.946,mahalanobis,14,-0.79,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_204606708.jpg,Chaetodon aureofasciatus,images_inaturalist,45.74,-14.02,17.28,9.91,5.04,22.02,1.84,mahalanobis,14,-1.018,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_22549155.jpg,Chaetodon aureofasciatus,images_inaturalist,61.61,5.69,44.29,18.29,13.94,28.82,2.163,mahalanobis,14,-0.324,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_341061346.jpg,Chaetodon aureofasciatus,images_inaturalist,48.43,6.59,32.72,18.65,7.39,19.01,2.11,mahalanobis,14,-0.437,no,no,yes,no,1,review
Chaetodon_aureofasciatus_iNaturalist_481634544.jpg,Chaetodon aureofasciatus,images_inaturalist,45.43,-3.03,4.78,8.67,3.48,10.75,2.811,mahalanobis,14,1.068,no,yes,no,no,1,review
Chaetodon_aureofasciatus_iNaturalist_524851900.jpg,Chaetodon aureofasciatus,images_inaturalist,66.24,26.67,30.81,16.24,17.3,32.19,2.793,mahalanobis,14,1.029,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_592190693.jpg,Chaetodon aureofasciatus,images_inaturalist,21.17,5.29,7.73,9.43,7.92,23.85,3.319,mahalanobis,14,2.158,no,no,no,yes,1,review
Chaetodon_aureofasciatus_iNaturalist_592372199.jpg,Chaetodon aureofasciatus,images_inaturalist,45.33,-4.99,20.6,10.58,5.07,19.31,1.842,mahalanobis,14,-1.012,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_595413339.jpg,Chaetodon aureofasciatus,images_inaturalist,40.55,9.33,22.88,12.16,7.95,22.09,1.729,mahalanobis,14,-1.255,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_598689315.jpg,Chaetodon aureofasciatus,images_inaturalist,52.89,-13.68,26.15,13.33,10.23,21.82,2.001,mahalanobis,14,-0.671,no,no,no,no,0,ok
Chaetodon_auriga_FishPix_12061AF.jpg,Chaetodon auriga,images,48.75,-6.42,3.41,15.2,4.27,14.94,2.49,mahalanobis,33,0.257,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_-2122348146.jpg,Chaetodon auriga,images_bishop,61.02,13.64,17.55,24.67,8.97,21.99,2.063,mahalanobis,33,-0.402,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1449897185.jpg,Chaetodon auriga,images_bishop,62.33,-0.6,13.08,27.6,3.97,21.18,1.876,mahalanobis,33,-0.69,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1547714619.jpg,Chaetodon auriga,images_bishop,64.25,-6.16,31.24,25.27,5.58,18.03,2.22,mahalanobis,33,-0.16,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1988149751.jpg,Chaetodon auriga,images_bishop,53.03,0.97,13.12,25.65,4.22,20.4,1.808,mahalanobis,33,-0.796,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_415255648.jpg,Chaetodon auriga,images_bishop,58.56,0.92,16.61,25.56,7.18,21.59,0.958,mahalanobis,33,-2.106,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_843681634.jpg,Chaetodon auriga,images_bishop,61.35,14.31,28.45,20.1,10.23,20.57,2.439,mahalanobis,33,0.178,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u0.jpg,Chaetodon auriga,images_fishbase_extra,71.75,-16.7,14.89,24.33,7.11,25.74,2.142,mahalanobis,33,-0.28,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u3.jpg,Chaetodon auriga,images_fishbase_extra,66.25,-0.28,27.94,25.7,6.12,17.42,2.069,mahalanobis,33,-0.392,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u4.jpg,Chaetodon auriga,images_fishbase_extra,62.55,-15.14,3.76,30.47,10.35,20.97,4.089,mahalanobis,33,2.723,yes,no,no,no,1,review
Chaetodon_auriga_FishBase_Chaur_u5.jpg,Chaetodon auriga,images_fishbase_extra,60.98,13.49,17.52,25.71,9.3,22.22,2.122,mahalanobis,33,-0.311,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u6.jpg,Chaetodon auriga,images_fishbase_extra,62.52,-0.64,13.15,28.47,4.21,21.4,1.905,mahalanobis,33,-0.645,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u7.jpg,Chaetodon auriga,images_fishbase_extra,58.89,0.91,16.7,25.92,7.31,21.77,1.008,mahalanobis,33,-2.029,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u8.jpg,Chaetodon auriga,images_fishbase_extra,61.6,14.25,28.52,20.52,10.32,20.74,2.423,mahalanobis,33,0.154,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u9.jpg,Chaetodon auriga,images_fishbase_extra,64.58,-6.14,31.21,25.89,5.9,18.52,2.169,mahalanobis,33,-0.238,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ua.jpg,Chaetodon auriga,images_fishbase_extra,53.29,0.97,13.03,26.25,4.4,20.8,1.839,mahalanobis,33,-0.747,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ud.jpg,Chaetodon auriga,images_fishbase_extra,69.54,-11.81,30.98,19.6,12.48,30.68,2.861,mahalanobis,33,0.829,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ue.jpg,Chaetodon auriga,images_fishbase_extra,74.03,-17.15,18.83,24.82,8.84,30.42,2.312,mahalanobis,33,-0.018,no,yes,no,no,1,review
Chaetodon_auriga_FishBase_Chaur_ul.jpg,Chaetodon auriga,images_fishbase_extra,70.7,7.84,21.28,22.63,9.22,32.43,2.181,mahalanobis,33,-0.22,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_un.jpg,Chaetodon auriga,images_fishbase_extra,78.46,-0.48,21.45,16.12,7.48,23.69,3.327,mahalanobis,33,1.548,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_uv.jpg,Chaetodon auriga,images_fishbase_extra,59.59,2.51,16.52,23.22,13.37,25.43,2.948,mahalanobis,33,0.964,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_uz.jpg,Chaetodon auriga,images_fishbase_extra,59.62,-0.26,13.35,25.5,5.59,27.39,1.741,mahalanobis,33,-0.898,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chauru11.jpg,Chaetodon auriga,images_fishbase_extra,52.8,0.49,27.91,22.2,7.81,26.15,2.659,mahalanobis,33,0.517,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_15056180.jpg,Chaetodon auriga,images_inaturalist,51.43,-10.74,24.89,17.4,6.76,16.01,1.985,mahalanobis,33,-0.521,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_15056242.jpg,Chaetodon auriga,images_inaturalist,44.85,-7.13,28.88,12.47,7.57,14.57,2.704,mahalanobis,33,0.588,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_15056243.jpg,Chaetodon auriga,images_inaturalist,47.77,-10.56,31.86,11.46,7.36,15.02,2.948,mahalanobis,33,0.963,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_220938852.jpg,Chaetodon auriga,images_inaturalist,54.78,-0.71,4.5,13.4,4.26,23.57,2.343,mahalanobis,33,0.031,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_317521711.jpg,Chaetodon auriga,images_inaturalist,51.11,-2.33,4.87,21.32,6.58,30.56,2.893,mahalanobis,33,0.879,no,no,no,no,0,ok
