filename,species,directory,n_components,largest_component_frac,fragmentation_score,compactness,solidity,margin_bleed_frac,mask_fraction,species_median_mask_frac,mask_frac_ratio,center_offset,convex_hull_area,quality_score,flag_fragmented,flag_bg_inclusion,flag_small_mask,flag_margin_bleed,n_flags,recommended_action
Chaetodon_assarius_iNaturalist_299428954.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,1.1065,0.9952,0.0,0.0105,0.0995,0.1055,0.1533,9460,0.8201,no,no,yes,no,1,review
Chaetodon_assarius_iNaturalist_310339741.jpg,Chaetodon assarius,images_inaturalist,2,0.5938,0.4062,1.097,0.2629,0.0064,0.0221,0.0995,0.2221,0.2361,10466,0.5601,no,yes,yes,no,2,resegment_dinosam
Chaetodon_assarius_iNaturalist_477274770.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.8403,0.9693,0.0,0.2389,0.0995,2.401,0.1106,190777,0.9299,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_484163082.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.9383,0.9678,0.0,0.0343,0.0995,0.3447,0.0146,23592,0.9148,no,no,no,no,0,ok
Chaetodon_assarius_iNaturalist_599485831.jpg,Chaetodon assarius,images_inaturalist,2,0.7025,0.2975,0.8861,0.5979,0.052,0.1125,0.0995,1.1307,0.1212,63761,0.8,no,yes,no,no,1,review
Chaetodon_assarius_iNaturalist_6085742.jpg,Chaetodon assarius,images_inaturalist,1,1.0,0.0,0.6542,0.8829,0.0,0.2057,0.0995,2.0673,0.0169,194681,0.9419,no,no,no,no,0,ok
Chaetodon_aureofasciatus_Bishop_1459626629.jpg,Chaetodon aureofasciatus,images_bishop,1,1.0,0.0,0.4841,0.8801,0.0,0.5211,0.2427,2.1471,0.0211,212442,0.9389,no,no,no,no,0,ok
Chaetodon_aureofasciatus_FishBase_Chaur_u1.jpg,Chaetodon aureofasciatus,images_fishbase_extra,1,1.0,0.0,0.4684,0.8801,0.0,0.5188,0.2427,2.1376,0.0211,119103,0.9392,no,no,no,no,0,ok
Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg,Chaetodon aureofasciatus,images,1,1.0,0.0,0.8088,0.9653,0.0,0.3511,0.2427,1.4466,0.0355,99401,0.9705,no,no,no,no,0,ok
Chaetodon_aureofasciatus_FishBase_Chaur_ut.jpg,Chaetodon aureofasciatus,images_fishbase_extra,1,1.0,0.0,0.9519,0.973,0.0,0.4131,0.2427,1.7021,0.0364,108958,0.9575,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_175593141.jpg,Chaetodon aureofasciatus,images_inaturalist,3,0.9989,0.0011,0.2607,0.6913,0.1709,0.2229,0.2427,0.9184,0.218,120146,0.911,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_204606708.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,1.1345,1.0048,0.0,0.0413,0.2427,0.1702,0.088,32345,0.8583,no,no,yes,no,1,review
Chaetodon_aureofasciatus_iNaturalist_22549155.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.8552,0.9797,0.0,0.1203,0.2427,0.4957,0.0438,85895,0.9439,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_341061346.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.4625,0.9221,0.0,0.4481,0.2427,1.8463,0.0132,456771,0.9509,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_481634544.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,1.2154,1.0027,0.0,0.0119,0.2427,0.049,0.0448,9330,0.76,no,no,yes,no,1,review
Chaetodon_aureofasciatus_iNaturalist_524851900.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.778,0.9748,0.0,0.2625,0.2427,1.0816,0.0123,191403,0.9937,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_592190693.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.9426,0.9902,0.0,0.0535,0.2427,0.2204,0.0079,49701,0.879,no,no,yes,no,1,review
Chaetodon_aureofasciatus_iNaturalist_592372199.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.8705,0.9877,0.0,0.2849,0.2427,1.1739,0.0689,210881,0.9872,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_595413339.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,0.9374,0.9846,0.0,0.0972,0.2427,0.4005,0.0124,91502,0.9268,no,no,no,no,0,ok
Chaetodon_aureofasciatus_iNaturalist_598689315.jpg,Chaetodon aureofasciatus,images_inaturalist,1,1.0,0.0,1.0281,0.9944,0.0,0.0527,0.2427,0.2171,0.0242,37043,0.8778,no,no,yes,no,1,review
Chaetodon_auriga_Bishop_-2122348146.jpg,Chaetodon auriga,images_bishop,1,1.0,0.0,0.3407,0.8309,0.0,0.483,0.361,1.338,0.0369,275195,0.971,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1449897185.jpg,Chaetodon auriga,images_bishop,1,1.0,0.0,0.3378,0.8012,0.0,0.4705,0.361,1.3033,0.0465,240066,0.9642,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1547714619.jpg,Chaetodon auriga,images_bishop,1,1.0,0.0,0.4632,0.8997,0.0,0.5311,0.361,1.4712,0.0405,266003,0.9691,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_1988149751.jpg,Chaetodon auriga,images_bishop,4,1.0,0.0,0.4521,0.8903,0.0,0.5192,0.361,1.4382,0.0504,262770,0.9709,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_415255648.jpg,Chaetodon auriga,images_bishop,1,1.0,0.0,0.3913,0.8527,0.0019,0.5777,0.361,1.6003,0.0495,307731,0.962,no,no,no,no,0,ok
Chaetodon_auriga_Bishop_843681634.jpg,Chaetodon auriga,images_bishop,1,1.0,0.0,0.4418,0.8553,0.0,0.535,0.361,1.482,0.0409,288231,0.9685,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u0.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.3975,0.893,0.0002,0.4775,0.361,1.3227,0.0443,141684,0.9776,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u3.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.7021,0.8862,0.0,0.1158,0.361,0.3208,0.0163,40151,0.909,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u4.jpg,Chaetodon auriga,images_fishbase_extra,2,0.9835,0.0165,0.5892,0.9314,0.0,0.5077,0.361,1.4064,0.0503,154883,0.9669,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u5.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.3916,0.8325,0.0,0.4878,0.361,1.3512,0.0391,156083,0.9707,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u6.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.3377,0.8272,0.0,0.4717,0.361,1.3066,0.0452,180634,0.9718,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u7.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.3839,0.8619,0.0016,0.5774,0.361,1.5994,0.0495,170931,0.9621,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u8.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.408,0.8382,0.0,0.5353,0.361,1.4828,0.0416,179904,0.9649,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_u9.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.4599,0.8927,0.0,0.5308,0.361,1.4704,0.0399,150657,0.9692,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ua.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.4603,0.8911,0.0,0.5208,0.361,1.4427,0.0502,148073,0.9707,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ud.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.8282,0.9603,0.0,0.361,0.361,1.0,0.0644,109473,1,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_ue.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.6674,0.9302,0.0,0.0431,0.361,0.1194,0.0225,13099,0.83,no,no,yes,no,1,review
Chaetodon_auriga_FishBase_Chaur_ul.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.695,0.9779,0.0,0.3956,0.361,1.0958,0.05,122202,0.9927,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_un.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.3973,0.8389,0.0,0.4677,0.361,1.2956,0.0314,77607,0.976,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_uv.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.6149,0.8988,0.0,0.2648,0.361,0.7335,0.0108,79177,0.9752,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chaur_uz.jpg,Chaetodon auriga,images_fishbase_extra,1,1.0,0.0,0.9161,0.9632,0.0,0.2963,0.361,0.8208,0.0355,84083,0.9842,no,no,no,no,0,ok
Chaetodon_auriga_FishBase_Chauru11.jpg,Chaetodon auriga,images_fishbase_extra,4,0.9999,0.0001,0.3319,0.7988,0.0,0.2802,0.361,0.7762,0.0112,107733,0.9643,no,no,no,no,0,ok
