species,filename,png_name,source,selected_at
Chaetodon kleinii,Chaetodon_kleinii_Bishop_308997156.jpg,Chaetodon_kleinii_Bishop_308997156.png,segmented,2026-02-08T21:32:26.883436
Chaetodon larvatus,Chaetodon_larvatus_FishBase_Chlar_u2.jpg,Chaetodon_larvatus_FishBase_Chlar_u2.png,segmented,2026-02-08T21:33:07.000081
Chaetodon leucopleura,Chaetodon_leucopleura_FishBase_Chleu_u5.jpg,Chaetodon_leucopleura_FishBase_Chleu_u5.png,segmented,2026-02-08T21:33:12.587558
Chaetodon lineolatus,Chaetodon_lineolatus_Bishop_1526268337.jpg,Chaetodon_lineolatus_Bishop_1526268337.png,segmented,2026-02-08T21:33:23.672239
Chaetodon litus,Chaetodon_litus_Bishop_1983788749.jpg,Chaetodon_litus_Bishop_1983788749.png,segmented,2026-02-08T21:33:35.908902
Chaetodon lunula,Chaetodon_lunula_Bishop_2036473160.jpg,Chaetodon_lunula_Bishop_2036473160.png,segmented,2026-02-08T21:33:43.799747
Chaetodon lunulatus,Chaetodon_lunulatus_Bishop_1113667583.jpg,Chaetodon_lunulatus_Bishop_1113667583.png,segmented,2026-02-08T21:33:52.951678
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,Chaetodon_madagaskariensis_Bishop_1210446292.png,segmented,2026-02-08T21:34:00.830695
Chaetodon marleyi,Chaetodon_marleyi_Bishop_384825925.jpg,Chaetodon_marleyi_Bishop_384825925.png,segmented,2026-02-08T21:34:13.319588
Chaetodon melannotus,Chaetodon_melannotus_Bishop_-1381464288.jpg,Chaetodon_melannotus_Bishop_-1381464288.png,segmented,2026-02-08T21:34:29.801130
Chaetodon melapterus,Chaetodon_melapterus_Bishop_-738901426.jpg,Chaetodon_melapterus_Bishop_-738901426.png,segmented,2026-02-08T21:35:02.203259
Chaetodon mertensii,Chaetodon_mertensii_Bishop_-727881428.jpg,Chaetodon_mertensii_Bishop_-727881428.png,segmented,2026-02-08T21:35:09.021408
Chaetodon mesoleucos,Chaetodon_mesoleucos_Bishop_-899095560.jpg,Chaetodon_mesoleucos_Bishop_-899095560.png,segmented,2026-02-08T21:35:16.970692
Chaetodon meyeri,Chaetodon_meyeri_Bishop_-146742631.jpg,Chaetodon_meyeri_Bishop_-146742631.png,segmented,2026-02-08T21:35:23.399728
Chaetodon miliaris,Chaetodon_miliaris_Bishop_725437158.jpg,Chaetodon_miliaris_Bishop_725437158.png,segmented,2026-02-08T21:35:34.778745
Chaetodon mitratus,Chaetodon_mitratus_Bishop_-777256060.jpg,Chaetodon_mitratus_Bishop_-777256060.png,segmented,2026-02-08T21:35:41.288064
Chaetodon modestus,Chaetodon_modestus_Bishop_316109402.jpg,Chaetodon_modestus_Bishop_316109402.png,segmented,2026-02-08T21:35:46.877111
Chaetodon multicinctus,Chaetodon_multicinctus_Bishop_-1145166510.jpg,Chaetodon_multicinctus_Bishop_-1145166510.png,segmented,2026-02-08T21:35:56.358612
Chaetodon nigropunctatus,Chaetodon_nigropunctatus_Bishop_276052843.jpg,Chaetodon_nigropunctatus_Bishop_276052843.png,segmented,2026-02-08T21:36:36.153098
Chaetodon nippon,Chaetodon_nippon_Bishop_-751379567.jpg,Chaetodon_nippon_Bishop_-751379567.png,segmented,2026-02-08T21:36:48.708628
Chaetodon ocellatus,Chaetodon_ocellatus_FishBase_Choce_ub.jpg,Chaetodon_ocellatus_FishBase_Choce_ub.png,segmented,2026-02-08T21:37:04.308701
Chaetodon ocellicaudus,Chaetodon_ocellicaudus_Bishop_958979710.jpg,Chaetodon_ocellicaudus_Bishop_958979710.png,segmented,2026-02-08T21:37:44.941646
Chaetodon octofasciatus,Chaetodon_octofasciatus_Bishop_1838436391.jpg,Chaetodon_octofasciatus_Bishop_1838436391.png,segmented,2026-02-08T21:37:52.419950
Chaetodon ornatissimus,Chaetodon_ornatissimus_Bishop_164962524.jpg,Chaetodon_ornatissimus_Bishop_164962524.png,segmented,2026-02-08T21:38:02.712546
Chaetodon oxycephalus,Chaetodon_oxycephalus_FishBase_Choxy_ua.jpg,Chaetodon_oxycephalus_FishBase_Choxy_ua.png,segmented,2026-02-08T21:38:09.165413
Chaetodon paucifasciatus,Chaetodon_paucifasciatus_Bishop_-1576082838.jpg,Chaetodon_paucifasciatus_Bishop_-1576082838.png,segmented,2026-02-08T21:38:32.895991
Chaetodon pelewensis,Chaetodon_pelewensis_Bishop_-460781405.jpg,Chaetodon_pelewensis_Bishop_-460781405.png,segmented,2026-02-08T21:39:10.066919
Chaetodon pictus,Chaetodon_pictus_FishBase_Chvag_u0.jpg,Chaetodon_pictus_FishBase_Chvag_u0.png,segmented,2026-02-08T21:39:19.477173
Chaetodon plebeius,Chaetodon_plebeius_Bishop_-243381367.jpg,Chaetodon_plebeius_Bishop_-243381367.png,segmented,2026-02-08T21:39:35.146752
Chaetodon punctatofasciatus,Chaetodon_punctatofasciatus_Bishop_1458053428.jpg,Chaetodon_punctatofasciatus_Bishop_1458053428.png,segmented,2026-02-08T21:39:41.775534
Chaetodon quadrimaculatus,Chaetodon_quadrimaculatus_FishBase_Chqua_j0.jpg,Chaetodon_quadrimaculatus_FishBase_Chqua_j0.png,segmented,2026-02-08T21:39:48.639583
Chaetodon rafflesii,Chaetodon_rafflesii_Bishop_-779601278.jpg,Chaetodon_rafflesii_Bishop_-779601278.png,segmented,2026-02-08T21:39:57.674323
Chaetodon rainfordi,Chaetodon_rainfordi_Bishop_-805104421.jpg,Chaetodon_rainfordi_Bishop_-805104421.png,segmented,2026-02-08T21:40:03.031649
Chaetodon reticulatus,Chaetodon_reticulatus_Bishop_-2063111040.jpg,Chaetodon_reticulatus_Bishop_-2063111040.png,segmented,2026-02-08T21:40:36.903110
Chaetodon robustus,Chaetodon_robustus_FishBase_Chrob_u6.jpg,Chaetodon_robustus_FishBase_Chrob_u6.png,segmented,2026-02-08T21:40:43.707135
Chaetodon sanctaehelenae,Chaetodon_sanctaehelenae_FishBase_Chsan_u2.jpg,Chaetodon_sanctaehelenae_FishBase_Chsan_u2.png,segmented,2026-02-08T21:41:17.639201
Chaetodon sedentarius,Chaetodon_sedentarius_FishBase_Chsed_u1.jpg,Chaetodon_sedentarius_FishBase_Chsed_u1.png,segmented,2026-02-08T21:42:11.090746
Chaetodon selene,Chaetodon_selene_Bishop_-1379331455.jpg,Chaetodon_selene_Bishop_-1379331455.png,segmented,2026-02-08T21:42:19.899862
Chaetodon semeion,Chaetodon_semeion_Bishop_-1205919593.jpg,Chaetodon_semeion_Bishop_-1205919593.png,segmented,2026-02-08T21:42:26.173076
Chaetodon semilarvatus,Chaetodon_semilarvatus_Bishop_-947886964.jpg,Chaetodon_semilarvatus_Bishop_-947886964.png,segmented,2026-02-08T21:42:33.002420
Chaetodon smithi,Chaetodon_smithi_Bishop_-1166721005.jpg,Chaetodon_smithi_Bishop_-1166721005.png,segmented,2026-02-08T21:42:39.011102
Chaetodon speculum,Chaetodon_speculum_Bishop_65885528.jpg,Chaetodon_speculum_Bishop_65885528.png,segmented,2026-02-08T21:42:46.251516
Chaetodon striatus,Chaetodon_striatus_FishBase_Chstr_ua.jpg,Chaetodon_striatus_FishBase_Chstr_ua.png,segmented,2026-02-08T21:42:52.689548
Chaetodon tinkeri,Chaetodon_tinkeri_Bishop_-1989865351.jpg,Chaetodon_tinkeri_Bishop_-1989865351.png,segmented,2026-02-08T21:48:15.757707
