species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Heniochus diphreutes,85586,85586AF.jpg,Heniochus_diphreutes_FishPix_85586.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85586AF.jpg,Chaetodontidae,no,success,16675
Chaetodon kleinii,85613,85613AF.jpg,Chaetodon_kleinii_FishPix_85613.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85613AF.jpg,Chaetodontidae,no,success,21087
Chaetodon auriga,85615,85615AF.jpg,Chaetodon_auriga_FishPix_85615.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85615AF.jpg,Chaetodontidae,no,success,57939
Unknown,85627,85627AF.jpg,Unknown_FishPix_85627.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85627AF.jpg,Chaetodontidae,no,success,18660
Unknown,85638,85638AF.jpg,Unknown_FishPix_85638.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85638AF.jpg,Chaetodontidae,no,success,57175
Heniochus diphreutes,85651,85651AF.jpg,Heniochus_diphreutes_FishPix_85651.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85651AF.jpg,Chaetodontidae,no,success,36664
Chaetodon argentatus,85673,85673AF.jpg,Chaetodon_argentatus_FishPix_85673.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85673AF.jpg,Chaetodontidae,no,success,72344
Chaetodon speculum,85699,85699AF.jpg,Chaetodon_speculum_FishPix_85699.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85699AF.jpg,Chaetodontidae,no,success,39061
Chaetodon speculum,85700,85700AF.jpg,Chaetodon_speculum_FishPix_85700.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85700AF.jpg,Chaetodontidae,no,success,74127
Chaetodon kleinii,85717,85717AF.jpg,Chaetodon_kleinii_FishPix_85717.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85717AF.jpg,Chaetodontidae,no,success,44423
Chaetodon punctatofasciatus,85730,85730AF.jpg,Chaetodon_punctatofasciatus_FishPix_85730.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85730AF.jpg,Chaetodontidae,no,success,51519
Unknown,85771,85771AF.jpg,Unknown_FishPix_85771.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85771AF.jpg,Chaetodontidae,no,success,35151
Chaetodon vagabundus,85772,85772AF.jpg,Chaetodon_vagabundus_FishPix_85772.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85772AF.jpg,Chaetodontidae,no,success,39410
Unknown,85859,85859AF.jpg,Unknown_FishPix_85859.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85859AF.jpg,Chaetodontidae,no,success,72666
Chaetodon ulietensis,85918,85918AF.jpg,Chaetodon_ulietensis_FishPix_85918.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85918AF.jpg,Chaetodontidae,no,success,108873
Coradion altivelis,85939,85939AF.jpg,Coradion_altivelis_FishPix_85939.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85939AF.jpg,Chaetodontidae,no,success,116372
Heniochus diphreutes,8595,8595AF.jpg,Heniochus_diphreutes_FishPix_8595.jpg,https://fishpix.kahaku.go.jp/photos/NR0008/8595AF.jpg,Chaetodontidae,no,success,22528
Heniochus diphreutes,8596,8596AF.jpg,Heniochus_diphreutes_FishPix_8596.jpg,https://fishpix.kahaku.go.jp/photos/NR0008/8596AF.jpg,Chaetodontidae,no,success,20480
Chaetodon melannotus,85984,85984AF.jpg,Chaetodon_melannotus_FishPix_85984.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85984AF.jpg,Chaetodontidae,no,success,86431
Unknown,85986,85986AF.jpg,Unknown_FishPix_85986.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85986AF.jpg,Chaetodontidae,no,success,55439
Heniochus chrysostomus,85987,85987AF.jpg,Heniochus_chrysostomus_FishPix_85987.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85987AF.jpg,Chaetodontidae,no,success,60018
Unknown,85998,85998AF.jpg,Unknown_FishPix_85998.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85998AF.jpg,Chaetodontidae,no,success,73640
Chaetodon meyeri,86001,86001AF.jpg,Chaetodon_meyeri_FishPix_86001.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86001AF.jpg,Chaetodontidae,no,success,104786
Unknown,86013,86013AF.jpg,Unknown_FishPix_86013.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86013AF.jpg,Chaetodontidae,no,success,58994
